Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Latin America & Caribbean (excluding high income),LAC,70.11184229,75.04342346,78.24569635,78.53706011,78.82289469,79.10152447,79.37431992,79.64035265,79.89890364,80.15167753,80.4016256,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,70.42964272,75.34876287,78.48372332,78.76848672,79.04755557,79.32055772,79.5884432,79.85009866,80.10506145,80.3546372,80.60141232,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Least developed countries: UN classification,LDC,21.50910407,25.02408664,29.46531554,29.97677661,30.47767166,30.98073495,31.48869949,32.00126862,32.51851517,33.04053217,33.56806008,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Low & middle income,LMY,35.69636066,40.27131965,45.96602051,46.52071431,47.06599603,47.61034465,48.15497277,48.70266124,49.2485696,49.79199796,50.32784424,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Low income,LIC,23.26810535,26.15083353,29.57270824,29.9140076,30.230975,30.55122741,30.88638503,31.2873623,31.70165127,32.12899216,32.57220389,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Lower middle income,LMC,29.79466868,32.98380259,36.93804506,37.36353395,37.79176501,38.22690329,38.66828058,39.11764559,39.57318706,40.03601427,40.50788978,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Middle East & North Africa,MEA,54.94044423,58.5956743,62.65662084,63.0020017,63.34028905,63.67432275,64.00006958,64.37090081,64.71954751,65.05257955,65.37197432,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Middle East & North Africa (excluding high income),MNA,51.76747089,55.44682949,59.05095482,59.34244337,59.63750223,59.9402257,60.24166388,60.60163055,60.94168465,61.27052519,61.59054752,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,51.6268601,55.2721271,58.87720078,59.16809594,59.46265726,59.76501875,60.06607595,60.42633781,60.7664051,61.09544823,61.414543,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Middle income,MIC,36.7438658,41.61923616,47.79079931,48.3947547,48.99088282,49.58599507,50.18108198,50.77386934,51.36499825,51.95361775,52.53425747,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,North America,NAC,75.43326939,79.10242412,80.7919857,80.96264222,81.12430128,81.29037413,81.45987201,81.63309419,81.80877,81.98965336,82.17315484,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,OECD members,OED,73.21608585,75.72323897,79.05052054,79.26725383,79.45383507,79.63771476,79.82128753,80.00960386,80.20050212,80.39516725,80.59330757,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Other small states,OSS,45.41213957,49.82099027,57.47666008,58.24678096,58.91228859,59.49738718,60.05476923,60.59536546,61.11799037,61.62463549,62.11803815,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Pacific island small states,PSS,31.51117656,34.5438807,36.85853374,37.10783068,37.33901311,37.56358629,37.80261752,38.0412596,38.29073574,38.53046861,38.78134412,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Post-demographic dividend,PST,74.06034945,76.46928461,79.85510612,80.06397826,80.23733643,80.40495215,80.57305463,80.74596078,80.92044432,81.09876618,81.28069478,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Pre-demographic dividend,PRE,28.34268502,32.0690505,36.87242709,37.42217375,37.96199174,38.50520853,39.04974273,39.59389013,40.1368382,40.68081408,41.22695151,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Small states,SST,45.2843734,48.89564057,54.78732023,55.40380272,55.95037585,56.43931635,56.91218519,57.37721477,57.8335858,58.28187943,58.72442407,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,South Asia,SAS,25.06482024,27.38130262,30.81736725,31.18389117,31.56070726,31.94444568,32.33684592,32.73756129,33.14632509,33.56413714,33.99236125,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,South Asia (IDA & IBRD),TSA,25.06482024,27.38130262,30.81736725,31.18389117,31.56070726,31.94444568,32.33684592,32.73756129,33.14632509,33.56413714,33.99236125,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sub-Saharan Africa,SSF,27.36408117,31.35364921,35.99838269,36.52385562,37.03722933,37.55111263,38.06910403,38.59107274,39.11616461,39.64466201,40.17682337,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sub-Saharan Africa (excluding high income),SSA,27.36109203,31.35132236,35.99659154,36.52217172,37.03558549,37.54949233,38.06751046,38.58949515,39.11461682,39.64314537,40.17534134,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,27.36408117,31.35364921,35.99838269,36.52385562,37.03722933,37.55111263,38.06910403,38.59107274,39.11616461,39.64466201,40.17682337,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Upper middle income,UMC,43.04688203,50.12619437,59.47262768,60.36399975,61.23407712,62.09349836,62.94566037,63.78657806,64.61655899,65.43361574,66.2333683,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,World,WLD,43.03113243,46.68905964,51.64521003,52.10289206,52.55400971,53.00454408,53.45695101,53.9133732,54.3696452,54.82224174,55.27057855,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 12/20/2019,,,,,,,,,,,,,,,
